Date, Open, High, Low, Close
07/02/20,32110.98,32244.51,31803.71,31859.20
07/01/20,31656.31,31843.52,31563.12,31714.07
06/30/20,31053.95,31681.90,31038.70,31576.79
06/29/20,30767.27,31094.39,30523.07,31093.80
06/26/20,31257.62,31267.73,30582.88,30620.42
06/25/20,30934.22,31395.19,30742.08,31373.25
06/24/20,31630.34,31687.00,30802.61,31008.58
06/23/20,32013.78,32098.63,31822.41,31864.58
06/22/20,31476.40,31769.27,31331.06,31738.05
06/19/20,32108.46,32108.46,31377.41,31534.06
06/18/20,31508.11,31772.85,31480.23,31704.37
06/17/20,31944.13,31966.70,31625.46,31678.72
06/16/20,32111.66,32127.88,31321.09,31822.67
06/15/20,30220.28,31355.62,30119.34,31228.39
06/12/20,31325.22,31406.77,30304.05,30911.92
06/11/20,31534.51,31664.59,30457.32,30484.44
06/10/20,32737.02,32791.79,32339.34,32437.11
06/09/20,32619.73,32833.82,32515.20,32665.60
06/08/20,32661.67,32986.91,32606.37,32981.16
06/05/20,32349.58,32749.71,32349.58,32538.05
06/04/20,31659.20,31863.74,31468.32,31699.35
06/03/20,31569.63,31882.97,31550.64,31804.65
06/02/20,31193.07,31333.64,31033.79,31332.99
06/01/20,30856.14,31156.92,30806.55,31073.88
05/29/20,30685.51,30955.14,30462.39,30910.10
05/28/20,31012.94,31186.68,30701.18,30768.79
05/27/20,30715.84,30888.00,30153.14,30888.00
05/26/20,30687.55,30689.91,30367.52,30404.20
05/22/20,29904.94,29996.53,29744.53,29985.34
05/21/20,30061.29,30173.28,29759.16,29896.76
05/20/20,29968.62,30185.23,29943.27,30094.41
05/19/20,29825.64,30016.48,29568.34,29570.86
05/18/20,29616.61,30027.09,29616.61,29889.29
05/15/20,28497.82,28915.67,28398.28,28903.31
05/14/20,28113.21,28763.61,27836.53,28760.56
05/13/20,28957.33,29018.96,28170.01,28441.92
05/12/20,29779.17,29826.32,29011.98,29011.98
05/11/20,29418.76,29818.85,29388.09,29663.42
05/08/20,29486.65,29686.39,29354.44,29670.79
05/07/20,29128.66,29329.68,29063.38,29121.73
05/06/20,29118.80,29173.56,28752.34,28752.34
05/05/20,29008.93,29261.53,28884.01,28937.60
05/04/20,28315.28,28679.79,28191.24,28670.31
05/01/20,28823.40,28912.54,28422.29,28539.10
04/30/20,29542.97,29603.50,29230.74,29396.70
04/29/20,29538.24,29908.58,29427.16,29755.60
04/28/20,29452.60,29488.91,28868.12,28914.43
04/27/20,28740.77,29116.11,28698.29,29022.02
04/24/20,28289.34,28574.65,28048.87,28507.11
04/23/20,28211.37,28577.07,28069.64,28110.29
04/22/20,28048.68,28235.49,27864.26,28093.45
04/21/20,27835.45,27963.45,27367.84,27478.69
04/20/20,28393.15,28803.58,28302.75,28346.72
04/17/20,28650.09,28887.74,28412.93,28840.28
04/16/20,28064.06,28101.06,27680.97,28036.39
04/15/20,27902.92,28091.59,27687.93,27902.69
04/14/20,28328.43,28625.18,28205.01,28574.11
04/13/20,27965.87,27969.45,27338.26,27747.18
04/09/20,27951.09,28358.46,27776.98,28075.87
04/08/20,26952.39,27689.87,26691.54,27586.42
04/07/20,27555.84,27591.65,26619.99,26633.07
04/06/20,25849.88,26764.49,25762.94,26645.86
04/03/20,25177.63,25384.94,24574.28,24860.74
04/02/20,24630.10,25408.91,24620.53,25286.96
04/01/20,25000.20,25320.92,24550.72,24774.57
03/31/20,26269.70,26525.75,25814.95,25984.75
03/30/20,25795.66,26431.57,25563.86,26386.76
03/27/20,25580.84,26314.30,25348.42,25585.47
03/26/20,25198.04,26536.78,25192.10,26476.65
03/25/20,24727.52,25892.65,24220.88,24931.33
03/24/20,23606.36,24606.00,23606.36,24589.35
03/23/20,22893.59,23055.90,21961.48,22462.76
03/20/20,24376.13,24616.15,23024.68,23105.30
03/19/20,23725.07,24643.96,23067.29,24116.65
03/18/20,24177.40,24506.50,22691.97,23829.82
03/17/20,24368.53,25544.37,23664.06,25309.67
03/16/20,25261.97,25705.58,23875.42,23920.77
03/13/20,26127.11,27287.53,25092.35,27288.33
03/12/20,26075.03,26814.05,25028.46,25042.56
03/11/20,28510.65,28555.45,27382.21,27723.91
03/10/20,28732.42,29210.81,27721.27,29210.74
03/09/20,28609.64,28845.50,27775.96,27892.58
03/06/20,30015.62,30396.82,29565.16,30275.44
03/05/20,31219.62,31414.18,30572.84,30826.80
03/04/20,31152.33,31907.22,30971.76,31903.90
03/03/20,31571.78,31991.06,30386.61,30665.89
03/02/20,30447.62,31519.96,30084.82,31517.22
02/28/20,29635.87,30270.29,29231.08,30203.72
02/27/20,31227.50,31670.79,30468.67,30472.84
02/26/20,32152.16,32543.16,31783.89,31850.29
